transaction_id,user_id,date,merchant,category,amount,is_debit,status
T000001,U0362,2023-07-31,McDonalds,Food & Dining,35.51,1,completed
T000002,U0307,2024-11-19,Bank Transfer,Transfer,1412.51,1,completed
T000003,U0116,2024-03-25,DoorDash,Food & Dining,118.7,1,completed
T000004,U0213,2024-05-30,McDonalds,Food & Dining,496.75,1,completed
T000005,U0470,2024-09-04,T-Mobile,Utilities,386.72,1,completed
T000006,U0198,2023-05-27,Steam,Entertainment,492.88,1,completed
T000007,U0431,2023-10-09,Freelance Payment,Income,1426.7,0,pending
T000008,U0276,2024-07-23,Lyft,Travel,248.82,1,failed
T000009,U0131,2023-11-23,Venmo Transfer,Income,5874.16,0,completed
T000010,U0113,2023-07-08,One Medical,Healthcare,377.7,1,completed
T000011,U0460,2024-12-25,Steam,Entertainment,73.89,1,completed
T000012,U0177,2024-02-27,Uber Eats,Food & Dining,483.96,1,completed
T000013,U0403,2023-09-06,Lyft,Travel,128.99,1,completed
T000014,U0431,2024-01-15,Nike,Shopping,48.05,1,completed
T000015,U0060,2023-10-02,Netflix,Entertainment,189.83,1,completed
T000016,U0381,2023-07-12,Starbucks,Food & Dining,402.72,1,completed
T000017,U0071,2023-08-02,AMC Theatres,Entertainment,435.0,1,completed
T000018,U0201,2023-07-14,McDonalds,Food & Dining,481.11,1,completed
T000019,U0102,2024-12-13,PayPal,Transfer,1216.72,1,completed
T000020,U0067,2023-11-26,ESPN+,Entertainment,388.21,1,completed
T000021,U0320,2023-09-25,Con Edison,Utilities,181.1,1,completed
T000022,U0464,2024-04-25,Venmo,Transfer,1528.03,1,completed
T000023,U0498,2023-11-17,Steam,Entertainment,208.14,1,completed
T000024,U0045,2023-01-17,Spotify,Entertainment,131.87,1,pending
T000025,U0379,2023-06-06,Freelance Payment,Income,2373.34,0,completed
T000026,U0113,2024-07-17,AMC Theatres,Entertainment,327.99,1,completed
T000027,U0039,2024-10-19,One Medical,Healthcare,370.32,1,completed
T000028,U0140,2023-05-24,AT&T,Utilities,360.72,1,completed
T000029,U0192,2023-02-04,Uber Eats,Food & Dining,419.86,1,completed
T000030,U0195,2024-02-27,Starbucks,Food & Dining,70.47,1,completed
T000031,U0090,2023-01-10,Target,Shopping,110.92,1,completed
T000032,U0090,2024-10-15,Uber Eats,Food & Dining,334.04,1,completed
T000033,U0095,2023-01-17,Cash App,Transfer,33.09,1,completed
T000034,U0326,2024-06-26,Starbucks,Food & Dining,361.65,1,completed
T000035,U0480,2024-05-29,CVS Pharmacy,Healthcare,406.95,1,completed
T000036,U0408,2023-04-09,Delta Airlines,Travel,263.14,1,completed
T000037,U0102,2023-10-01,ZocDoc,Healthcare,397.88,1,completed
T000038,U0337,2024-08-01,Freelance Payment,Income,2702.46,0,completed
T000039,U0481,2024-10-31,CVS Pharmacy,Healthcare,495.85,1,completed
T000040,U0094,2024-02-20,Starbucks,Food & Dining,190.87,1,completed
