transaction_id,user_id,transaction_date,transaction_year,transaction_month,merchant,category,amount,is_debit,status,state,account_type,acquisition_channel,risk_segment
T000001,U0362,2023-07-31,2023,2023-07,mcdonalds,food & dining,35.51,1,completed,ca,savings,organic,low_risk
T000002,U0307,2024-11-19,2024,2024-11,bank transfer,transfer,1412.51,1,completed,il,checking,paid_social,low_risk
T000003,U0116,2024-03-25,2024,2024-03,doordash,food & dining,118.7,1,completed,wa,checking,paid_social,medium_risk
T000004,U0213,2024-05-30,2024,2024-05,mcdonalds,food & dining,496.75,1,completed,tx,savings,referral,medium_risk
T000005,U0470,2024-09-04,2024,2024-09,t-mobile,utilities,386.72,1,completed,wa,premium,referral,medium_risk
T000006,U0198,2023-05-27,2023,2023-05,steam,entertainment,492.88,1,completed,ga,savings,organic,medium_risk
T000007,U0431,2023-10-09,2023,2023-10,freelance payment,income,1426.7,0,pending,ca,checking,referral,low_risk
T000009,U0131,2023-11-23,2023,2023-11,venmo transfer,income,5874.16,0,completed,ca,premium,influencer,medium_risk
T000010,U0113,2023-07-08,2023,2023-07,one medical,healthcare,377.7,1,completed,ma,premium,paid_search,medium_risk
T000011,U0460,2024-12-25,2024,2024-12,steam,entertainment,73.89,1,completed,ca,premium,referral,low_risk
T000012,U0177,2024-02-27,2024,2024-02,uber eats,food & dining,483.96,1,completed,co,checking,referral,medium_risk
T000013,U0403,2023-09-06,2023,2023-09,lyft,travel,128.99,1,completed,wa,checking,paid_social,medium_risk
T000014,U0431,2024-01-15,2024,2024-01,nike,shopping,48.05,1,completed,ca,checking,referral,low_risk
T000015,U0060,2023-10-02,2023,2023-10,netflix,entertainment,189.83,1,completed,ny,premium,organic,medium_risk
T000016,U0381,2023-07-12,2023,2023-07,starbucks,food & dining,402.72,1,completed,co,checking,referral,low_risk
T000017,U0071,2023-08-02,2023,2023-08,amc theatres,entertainment,435.0,1,completed,ny,checking,paid_social,medium_risk
T000018,U0201,2023-07-14,2023,2023-07,mcdonalds,food & dining,481.11,1,completed,co,checking,paid_search,low_risk
T000019,U0102,2024-12-13,2024,2024-12,paypal,transfer,1216.72,1,completed,fl,premium,paid_search,medium_risk
T000020,U0067,2023-11-26,2023,2023-11,espn+,entertainment,388.21,1,completed,ny,premium,referral,medium_risk
T000021,U0320,2023-09-25,2023,2023-09,con edison,utilities,181.1,1,completed,ga,checking,organic,low_risk
T000022,U0464,2024-04-25,2024,2024-04,venmo,transfer,1528.03,1,completed,tx,savings,referral,low_risk
T000023,U0498,2023-11-17,2023,2023-11,steam,entertainment,208.14,1,completed,ga,savings,influencer,low_risk
T000024,U0045,2023-01-17,2023,2023-01,spotify,entertainment,131.87,1,pending,az,savings,referral,low_risk
T000025,U0379,2023-06-06,2023,2023-06,freelance payment,income,2373.34,0,completed,ny,premium,paid_search,medium_risk
T000026,U0113,2024-07-17,2024,2024-07,amc theatres,entertainment,327.99,1,completed,ma,premium,paid_search,medium_risk
