user_id,transaction_month,transaction_year,category,account_type,acquisition_channel,state,transaction_count,total_spend,avg_transaction_amount,largest_transaction
U0001,2023-01,2023,shopping,checking,paid_social,ny,1,335.24,335.24,335.24
U0001,2023-01,2023,transfer,checking,paid_social,ny,1,301.52,301.52,301.52
U0001,2023-04,2023,food & dining,checking,paid_social,ny,1,130.39,130.39,130.39
U0001,2023-08,2023,travel,checking,paid_social,ny,1,412.31,412.31,412.31
U0001,2023-09,2023,transfer,checking,paid_social,ny,1,344.57,344.57,344.57
U0001,2023-09,2023,utilities,checking,paid_social,ny,1,328.75,328.75,328.75
U0001,2023-11,2023,utilities,checking,paid_social,ny,1,409.15,409.15,409.15
U0001,2024-01,2024,food & dining,checking,paid_social,ny,1,11.63,11.63,11.63
U0001,2024-02,2024,entertainment,checking,paid_social,ny,1,19.82,19.82,19.82
U0001,2024-02,2024,shopping,checking,paid_social,ny,1,71.87,71.87,71.87
U0001,2024-02,2024,utilities,checking,paid_social,ny,2,683.48,341.74,362.22
U0001,2024-03,2024,healthcare,checking,paid_social,ny,1,3.79,3.79,3.79
U0001,2024-04,2024,transfer,checking,paid_social,ny,1,1510.27,1510.27,1510.27
U0001,2024-06,2024,shopping,checking,paid_social,ny,1,308.24,308.24,308.24
U0001,2024-07,2024,shopping,checking,paid_social,ny,1,57.6,57.6,57.6
U0001,2024-07,2024,travel,checking,paid_social,ny,1,99.7,99.7,99.7
U0001,2024-09,2024,food & dining,checking,paid_social,ny,1,184.87,184.87,184.87
U0001,2024-09,2024,transfer,checking,paid_social,ny,1,499.99,499.99,499.99
U0001,2024-09,2024,utilities,checking,paid_social,ny,1,294.6,294.6,294.6
U0001,2024-11,2024,utilities,checking,paid_social,ny,1,343.1,343.1,343.1
U0002,2023-01,2023,food & dining,premium,influencer,ny,1,425.76,425.76,425.76
U0002,2023-02,2023,entertainment,premium,influencer,ny,1,113.63,113.63,113.63
U0002,2023-11,2023,shopping,premium,influencer,ny,1,180.22,180.22,180.22
U0002,2023-12,2023,healthcare,premium,influencer,ny,1,469.97,469.97,469.97
U0002,2024-01,2024,shopping,premium,influencer,ny,1,405.31,405.31,405.31
U0002,2024-04,2024,shopping,premium,influencer,ny,1,253.76,253.76,253.76
U0002,2024-04,2024,travel,premium,influencer,ny,1,245.14,245.14,245.14
U0002,2024-05,2024,transfer,premium,influencer,ny,1,639.77,639.77,639.77
U0002,2024-05,2024,utilities,premium,influencer,ny,1,67.09,67.09,67.09
U0002,2024-06,2024,shopping,premium,influencer,ny,1,155.42,155.42,155.42
U0002,2024-09,2024,food & dining,premium,influencer,ny,1,13.5,13.5,13.5
U0002,2024-11,2024,food & dining,premium,influencer,ny,1,322.28,322.28,322.28
U0002,2024-11,2024,utilities,premium,influencer,ny,1,141.82,141.82,141.82
U0002,2024-12,2024,food & dining,premium,influencer,ny,2,441.07,220.53,344.52
U0003,2023-02,2023,entertainment,checking,organic,ca,1,250.36,250.36,250.36
U0003,2023-02,2023,transfer,checking,organic,ca,1,603.92,603.92,603.92
U0003,2023-03,2023,travel,checking,organic,ca,1,279.56,279.56,279.56
U0003,2023-03,2023,utilities,checking,organic,ca,1,195.27,195.27,195.27
U0003,2023-04,2023,food & dining,checking,organic,ca,1,229.18,229.18,229.18
U0003,2023-07,2023,shopping,checking,organic,ca,1,167.41,167.41,167.41
U0003,2023-09,2023,healthcare,checking,organic,ca,1,49.63,49.63,49.63
U0003,2023-10,2023,utilities,checking,organic,ca,1,246.55,246.55,246.55
U0003,2023-11,2023,travel,checking,organic,ca,1,302.46,302.46,302.46
U0003,2023-12,2023,healthcare,checking,organic,ca,1,71.79,71.79,71.79
U0003,2024-02,2024,utilities,checking,organic,ca,1,272.29,272.29,272.29
U0003,2024-03,2024,healthcare,checking,organic,ca,1,394.96,394.96,394.96
U0003,2024-04,2024,entertainment,checking,organic,ca,1,211.57,211.57,211.57
U0003,2024-10,2024,shopping,checking,organic,ca,1,135.08,135.08,135.08
U0004,2023-03,2023,entertainment,checking,influencer,az,1,184.79,184.79,184.79
U0004,2023-05,2023,travel,checking,influencer,az,1,39.86,39.86,39.86
U0004,2023-07,2023,travel,checking,influencer,az,1,344.18,344.18,344.18
U0004,2023-09,2023,transfer,checking,influencer,az,1,1808.34,1808.34,1808.34
U0004,2023-12,2023,entertainment,checking,influencer,az,1,195.39,195.39,195.39
U0004,2023-12,2023,shopping,checking,influencer,az,1,169.4,169.4,169.4
U0004,2024-07,2024,utilities,checking,influencer,az,1,314.14,314.14,314.14
U0004,2024-09,2024,healthcare,checking,influencer,az,1,257.99,257.99,257.99
U0004,2024-11,2024,healthcare,checking,influencer,az,1,227.96,227.96,227.96
U0004,2024-11,2024,transfer,checking,influencer,az,1,1042.04,1042.04,1042.04
U0005,2023-01,2023,healthcare,savings,referral,ga,1,158.89,158.89,158.89
U0005,2023-04,2023,transfer,savings,referral,ga,1,787.4,787.4,787.4
U0005,2023-04,2023,travel,savings,referral,ga,1,490.38,490.38,490.38
U0005,2023-05,2023,transfer,savings,referral,ga,1,741.13,741.13,741.13
U0005,2023-09,2023,shopping,savings,referral,ga,1,395.97,395.97,395.97
U0005,2023-09,2023,utilities,savings,referral,ga,1,438.76,438.76,438.76
U0005,2024-01,2024,transfer,savings,referral,ga,1,886.58,886.58,886.58
U0005,2024-01,2024,utilities,savings,referral,ga,1,45.34,45.34,45.34
U0005,2024-03,2024,shopping,savings,referral,ga,1,349.17,349.17,349.17
U0005,2024-04,2024,shopping,savings,referral,ga,1,458.18,458.18,458.18
U0005,2024-05,2024,transfer,savings,referral,ga,1,242.73,242.73,242.73
U0005,2024-06,2024,entertainment,savings,referral,ga,1,262.51,262.51,262.51
U0005,2024-11,2024,shopping,savings,referral,ga,1,65.22,65.22,65.22
U0005,2024-12,2024,healthcare,savings,referral,ga,1,64.46,64.46,64.46
U0006,2023-01,2023,food & dining,checking,paid_search,ca,1,38.45,38.45,38.45
U0006,2023-06,2023,transfer,checking,paid_search,ca,1,336.32,336.32,336.32
U0006,2023-10,2023,food & dining,checking,paid_search,ca,1,280.31,280.31,280.31
U0006,2023-11,2023,travel,checking,paid_search,ca,1,46.99,46.99,46.99
U0006,2023-12,2023,food & dining,checking,paid_search,ca,1,434.16,434.16,434.16
U0006,2024-02,2024,food & dining,checking,paid_search,ca,1,144.57,144.57,144.57
U0006,2024-02,2024,healthcare,checking,paid_search,ca,1,215.02,215.02,215.02
U0006,2024-09,2024,entertainment,checking,paid_search,ca,1,261.91,261.91,261.91
U0006,2024-10,2024,healthcare,checking,paid_search,ca,1,353.42,353.42,353.42
U0006,2024-11,2024,food & dining,checking,paid_search,ca,1,65.92,65.92,65.92
U0006,2024-12,2024,travel,checking,paid_search,ca,2,483.03,241.51,350.64
U0007,2023-01,2023,entertainment,savings,organic,fl,1,268.91,268.91,268.91
U0007,2023-03,2023,shopping,savings,organic,fl,1,379.72,379.72,379.72
U0007,2023-03,2023,travel,savings,organic,fl,1,221.79,221.79,221.79
U0007,2023-05,2023,utilities,savings,organic,fl,1,107.26,107.26,107.26
U0007,2023-09,2023,transfer,savings,organic,fl,1,1472.93,1472.93,1472.93
U0007,2023-10,2023,entertainment,savings,organic,fl,1,429.09,429.09,429.09
U0007,2023-10,2023,food & dining,savings,organic,fl,1,194.28,194.28,194.28
U0007,2023-12,2023,food & dining,savings,organic,fl,1,219.19,219.19,219.19
U0007,2024-01,2024,entertainment,savings,organic,fl,1,421.98,421.98,421.98
U0007,2024-01,2024,utilities,savings,organic,fl,1,153.02,153.02,153.02
U0007,2024-04,2024,healthcare,savings,organic,fl,1,337.88,337.88,337.88
U0007,2024-04,2024,travel,savings,organic,fl,1,27.77,27.77,27.77
U0007,2024-08,2024,food & dining,savings,organic,fl,1,152.71,152.71,152.71
U0007,2024-09,2024,entertainment,savings,organic,fl,1,247.46,247.46,247.46
U0007,2024-11,2024,shopping,savings,organic,fl,1,259.21,259.21,259.21
U0008,2023-02,2023,entertainment,savings,influencer,il,1,168.86,168.86,168.86
U0008,2023-03,2023,healthcare,savings,influencer,il,1,450.26,450.26,450.26
U0008,2023-04,2023,travel,savings,influencer,il,1,11.29,11.29,11.29
U0008,2023-11,2023,shopping,savings,influencer,il,1,51.86,51.86,51.86
U0008,2023-11,2023,transfer,savings,influencer,il,1,1788.87,1788.87,1788.87
U0008,2024-02,2024,food & dining,savings,influencer,il,1,279.48,279.48,279.48
U0008,2024-02,2024,shopping,savings,influencer,il,1,313.49,313.49,313.49
U0008,2024-04,2024,utilities,savings,influencer,il,1,84.09,84.09,84.09
U0008,2024-05,2024,utilities,savings,influencer,il,1,379.53,379.53,379.53
U0008,2024-07,2024,shopping,savings,influencer,il,1,31.26,31.26,31.26
U0008,2024-08,2024,entertainment,savings,influencer,il,1,131.5,131.5,131.5
U0008,2024-08,2024,travel,savings,influencer,il,1,211.59,211.59,211.59
U0008,2024-11,2024,shopping,savings,influencer,il,1,494.42,494.42,494.42
U0009,2023-04,2023,shopping,premium,organic,co,1,51.17,51.17,51.17
U0009,2023-05,2023,shopping,premium,organic,co,1,391.78,391.78,391.78
U0009,2023-06,2023,entertainment,premium,organic,co,1,343.25,343.25,343.25
U0009,2023-07,2023,utilities,premium,organic,co,1,201.36,201.36,201.36
U0009,2023-08,2023,entertainment,premium,organic,co,1,345.67,345.67,345.67
U0009,2023-08,2023,transfer,premium,organic,co,1,467.71,467.71,467.71
U0009,2023-11,2023,healthcare,premium,organic,co,1,461.11,461.11,461.11
U0009,2023-12,2023,shopping,premium,organic,co,1,73.6,73.6,73.6
U0009,2024-04,2024,food & dining,premium,organic,co,2,315.6,157.8,238.95
U0009,2024-09,2024,shopping,premium,organic,co,1,381.15,381.15,381.15
U0009,2024-10,2024,shopping,premium,organic,co,2,226.33,113.17,152.08
U0009,2024-10,2024,travel,premium,organic,co,1,269.79,269.79,269.79
U0009,2024-11,2024,food & dining,premium,organic,co,1,409.07,409.07,409.07
U0009,2024-11,2024,shopping,premium,organic,co,1,183.52,183.52,183.52
U0009,2024-12,2024,utilities,premium,organic,co,1,65.77,65.77,65.77
U0010,2023-03,2023,transfer,premium,paid_social,ny,1,912.49,912.49,912.49
U0010,2023-03,2023,travel,premium,paid_social,ny,1,10.31,10.31,10.31
U0010,2023-04,2023,shopping,premium,paid_social,ny,1,87.99,87.99,87.99
U0010,2023-09,2023,entertainment,premium,paid_social,ny,1,313.71,313.71,313.71
U0010,2023-12,2023,transfer,premium,paid_social,ny,1,1057.88,1057.88,1057.88
U0010,2023-12,2023,travel,premium,paid_social,ny,1,6.01,6.01,6.01
U0010,2024-01,2024,entertainment,premium,paid_social,ny,1,43.78,43.78,43.78
U0010,2024-02,2024,healthcare,premium,paid_social,ny,1,212.92,212.92,212.92
U0010,2024-04,2024,entertainment,premium,paid_social,ny,1,95.14,95.14,95.14
U0010,2024-05,2024,transfer,premium,paid_social,ny,1,847.57,847.57,847.57
U0010,2024-08,2024,food & dining,premium,paid_social,ny,1,129.33,129.33,129.33
U0010,2024-08,2024,transfer,premium,paid_social,ny,1,643.17,643.17,643.17
U0011,2023-01,2023,entertainment,premium,referral,il,1,162.24,162.24,162.24
U0011,2023-03,2023,shopping,premium,referral,il,1,183.16,183.16,183.16
U0011,2023-09,2023,travel,premium,referral,il,1,314.06,314.06,314.06
U0011,2023-10,2023,healthcare,premium,referral,il,1,106.29,106.29,106.29
U0011,2023-10,2023,transfer,premium,referral,il,1,566.13,566.13,566.13
U0011,2023-12,2023,utilities,premium,referral,il,1,159.55,159.55,159.55
U0011,2024-01,2024,healthcare,premium,referral,il,1,195.0,195.0,195.0
U0011,2024-02,2024,healthcare,premium,referral,il,1,129.03,129.03,129.03
U0011,2024-03,2024,entertainment,premium,referral,il,1,97.85,97.85,97.85
U0011,2024-05,2024,travel,premium,referral,il,1,310.47,310.47,310.47
U0011,2024-06,2024,food & dining,premium,referral,il,1,283.13,283.13,283.13
U0011,2024-07,2024,utilities,premium,referral,il,1,475.33,475.33,475.33
U0011,2024-08,2024,utilities,premium,referral,il,1,333.6,333.6,333.6
U0011,2024-11,2024,utilities,premium,referral,il,1,65.98,65.98,65.98
U0011,2024-12,2024,entertainment,premium,referral,il,1,305.46,305.46,305.46
U0012,2023-03,2023,healthcare,savings,organic,fl,1,46.3,46.3,46.3
U0012,2023-03,2023,utilities,savings,organic,fl,1,473.32,473.32,473.32
U0012,2023-04,2023,transfer,savings,organic,fl,1,1939.79,1939.79,1939.79
U0012,2023-05,2023,entertainment,savings,organic,fl,1,219.42,219.42,219.42
U0012,2023-05,2023,food & dining,savings,organic,fl,1,35.73,35.73,35.73
U0012,2023-08,2023,shopping,savings,organic,fl,1,419.66,419.66,419.66
U0012,2023-08,2023,travel,savings,organic,fl,1,296.87,296.87,296.87
U0012,2023-08,2023,utilities,savings,organic,fl,2,830.08,415.04,424.34
U0012,2023-09,2023,shopping,savings,organic,fl,1,419.04,419.04,419.04
U0012,2023-09,2023,travel,savings,organic,fl,1,201.39,201.39,201.39
U0012,2023-10,2023,food & dining,savings,organic,fl,1,462.69,462.69,462.69
U0012,2023-11,2023,travel,savings,organic,fl,1,422.8,422.8,422.8
U0012,2024-02,2024,entertainment,savings,organic,fl,1,181.11,181.11,181.11
U0012,2024-03,2024,shopping,savings,organic,fl,1,258.89,258.89,258.89
U0012,2024-05,2024,food & dining,savings,organic,fl,1,123.21,123.21,123.21
U0012,2024-07,2024,healthcare,savings,organic,fl,1,458.62,458.62,458.62
U0012,2024-09,2024,travel,savings,organic,fl,1,408.32,408.32,408.32
U0012,2024-11,2024,healthcare,savings,organic,fl,2,197.96,98.98,127.47
U0013,2023-01,2023,shopping,savings,paid_search,ma,1,115.11,115.11,115.11
U0013,2023-01,2023,transfer,savings,paid_search,ma,1,1588.25,1588.25,1588.25
U0013,2023-01,2023,travel,savings,paid_search,ma,1,239.92,239.92,239.92
U0013,2023-04,2023,shopping,savings,paid_search,ma,1,442.64,442.64,442.64
U0013,2023-04,2023,transfer,savings,paid_search,ma,1,313.0,313.0,313.0
